Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669231899,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669231900,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669231901,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669231902,3,,Aggregated,0.000000,0.000000,220,300,1300,1300,2000,2000,2000,2000,2000,2000,2000,7,0,220.0,593.6648922857524,113.72809699969366,2043.9523330005613,149793.0
1669231903,4,,Aggregated,0.000000,0.000000,120,220,510,740,1400,1400,2000,2000,2000,2000,2000,22,0,120.0,441.7472868181407,112.7203379992352,2043.9523330005613,149793.0
1669231904,5,,Aggregated,1.333333,0.000000,120,210,300,420,750,1400,2000,2000,2000,2000,2000,45,0,120.0,322.2587491110769,112.7203379992352,2043.9523330005613,149793.0
1669231905,6,,Aggregated,3.250000,0.000000,120,130,210,300,510,830,1400,2000,2000,2000,2000,82,0,120.0,249.2251021951078,111.42841099990619,2043.9523330005613,149793.0
1669231906,7,,Aggregated,6.800000,0.000000,120,120,130,210,390,750,1400,1400,2000,2000,2000,121,0,120.0,219.43281593389693,109.91410800033918,2043.9523330005613,149793.0
1669231907,8,,Aggregated,10.833333,0.000000,120,130,210,260,420,750,1400,1400,2000,2000,2000,129,0,120.0,225.35461673645517,109.91410800033918,2043.9523330005613,149793.0
1669231908,9,,Aggregated,15.285714,0.000000,120,130,260,320,740,1300,1400,1600,2000,2000,2000,142,0,120.0,279.8119256760888,109.91410800033918,2043.9523330005613,149793.0
1669231909,10,,Aggregated,16.000000,0.000000,120,210,310,430,830,1300,1400,2000,2000,2000,2000,173,0,120.0,309.4872939826786,109.91410800033918,2043.9523330005613,149793.0
1669231910,11,,Aggregated,15.000000,0.000000,120,220,360,500,780,1000,1400,1600,2000,2000,2000,204,0,120.0,307.8908650833384,109.91410800033918,2043.9523330005613,149793.0
1669231911,12,,Aggregated,15.700000,0.000000,120,260,420,520,860,1200,1400,1600,2000,2000,2000,214,0,120.0,330.2413549158999,109.91410800033918,2043.9523330005613,149793.0
1669231912,13,,Aggregated,19.400000,0.000000,130,300,500,600,980,1300,1600,2000,2200,2200,2200,228,0,130.0,361.39153609651015,109.91410800033918,2240.683736000392,149793.0
1669231913,14,,Aggregated,20.600000,0.000000,140,320,530,630,1100,1300,1600,2000,2300,2300,2300,251,0,140.0,398.2347773068011,109.91410800033918,2260.7148030001554,149793.0
