Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,24440,0,470.0,529.6328541200929,108.95768099999259,3031.708862999949,149793.0,136.161726485086,0.0,470,560,640,680,850,1000,1200,1400,2200,2800,3000
,Aggregated,24440,0,470.0,529.6328541200929,108.95768099999259,3031.708862999949,149793.0,136.161726485086,0.0,470,560,640,680,850,1000,1200,1400,2200,2800,3000
