Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegration/0/3.14159,20998,20816,140.0,431.1432765756236,25.138595000044006,42176.229963000194,1.1527764549004667,117.51471259607422,116.49615474806558,140,190,230,250,320,410,1200,15000,27000,41000,42000
,Aggregated,20998,20816,140.0,431.1432765756236,25.138595000044006,42176.229963000194,1.1527764549004667,117.51471259607422,116.49615474806558,140,190,230,250,320,410,1200,15000,27000,41000,42000
