Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669228245,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669228246,1,,Aggregated,0.000000,0.000000,850,850,850,850,850,850,850,850,850,850,850,1,0,848.647185000118,848.647185000118,848.647185000118,848.647185000118,133.0
1669228247,2,,Aggregated,0.000000,0.000000,850,850,850,850,850,850,850,850,850,850,850,2,0,700.0,774.252686000068,699.858187000018,848.647185000118,133.0
1669228248,3,,Aggregated,0.000000,0.000000,850,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300,5,0,850.0,943.081226600043,699.858187000018,1309.9151730000358,133.0
1669228249,4,,Aggregated,0.500000,0.000000,1000,1000,1300,1300,1400,1400,1400,1400,1400,1400,1400,7,0,1000.0,1015.1913317143096,699.858187000018,1368.3500170000116,133.0
1669228250,5,,Aggregated,1.000000,0.000000,1000,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,8,0,1000.0,1068.97267637504,699.858187000018,1445.442089000153,133.0
1669228251,6,,Aggregated,1.250000,0.000000,1300,1400,1400,1900,2000,2000,2000,2000,2000,2000,2000,10,0,1000.0,1250.70064800002,699.858187000018,2011.8331779999608,133.0
1669228252,7,,Aggregated,1.400000,0.000000,1400,1900,2000,2100,2400,2500,2500,2500,2500,2500,2500,13,0,1400.0,1500.7364766153948,699.858187000018,2453.0761050000365,133.0
1669228253,8,,Aggregated,1.500000,0.000000,1400,2000,2200,2400,2500,2600,2600,2600,2600,2600,2600,15,0,1400.0,1621.20230380001,699.858187000018,2563.7778010000147,133.0
1669228254,9,,Aggregated,1.571429,0.000000,1900,2200,2400,2500,2600,3000,3000,3000,3000,3000,3000,17,0,1900.0,1758.866356647064,699.858187000018,3008.0636329998924,133.0
1669228255,10,,Aggregated,1.625000,0.000000,2100,2500,2600,3000,3100,3100,3100,3100,3100,3100,3100,20,0,2000.0,1955.248516500012,699.858187000018,3139.031063999937,133.0
1669228256,11,,Aggregated,1.777778,0.000000,2200,2600,3000,3000,3100,3100,3800,3800,3800,3800,3800,22,0,2100.0,2090.3256259091036,699.858187000018,3810.6429550000485,133.0
1669228257,12,,Aggregated,1.800000,0.000000,2400,2600,3100,3100,3600,3800,3800,3800,3800,3800,3800,24,0,2200.0,2223.2169550000076,699.858187000018,3810.6429550000485,133.0
1669228258,13,,Aggregated,2.000000,0.000000,2500,3000,3100,3100,3800,4200,4500,4500,4500,4500,4500,26,0,2400.0,2385.2352379615413,699.858187000018,4469.544971000005,133.0
1669228259,14,,Aggregated,2.100000,0.000000,2600,3100,3600,3800,4400,4500,4600,4600,4600,4600,4600,28,0,2500.0,2536.924895321436,699.858187000018,4633.860379999987,133.0
1669228260,15,,Aggregated,2.100000,0.000000,2600,3100,3800,4200,4600,4700,5000,5000,5000,5000,5000,30,0,2600.0,2691.4696795333384,699.858187000018,5025.78827100001,133.0
1669228261,16,,Aggregated,2.100000,0.000000,3000,3600,4200,4400,4700,5000,5500,5500,5500,5500,5500,32,0,2600.0,2852.7981485937557,699.858187000018,5529.340169000079,133.0
1669228262,17,,Aggregated,2.100000,0.000000,3000,3800,4400,4600,5000,5500,5500,5500,5500,5500,5500,34,0,3000.0,2998.8736931176563,699.858187000018,5529.340169000079,133.0
1669228263,18,,Aggregated,2.200000,0.000000,3100,3800,4600,4700,5500,5600,6000,6000,6000,6000,6000,36,0,3000.0,3153.9808941388906,699.858187000018,6004.761947999896,133.0
1669228264,19,,Aggregated,2.200000,0.000000,3100,4400,4700,5000,5600,6100,6300,6300,6300,6300,6300,38,0,3100.0,3314.3610380526347,699.858187000018,6300.025056000095,133.0
1669228265,20,,Aggregated,2.200000,0.000000,3100,4400,5000,5200,6000,6300,6300,6300,6300,6300,6300,39,0,3100.0,3390.105366538464,699.858187000018,6300.025056000095,133.0
1669228266,21,,Aggregated,2.000000,0.000000,3600,4600,5200,5500,6300,7000,7600,7600,7600,7600,7600,42,0,3100.0,3670.993987285713,699.858187000018,7593.137935999948,133.0
1669228267,22,,Aggregated,2.100000,0.000000,3800,5000,5500,6100,7100,7400,7600,7600,7600,7600,7600,45,0,3800.0,3909.724541199992,699.858187000018,7593.137935999948,133.0
1669228268,23,,Aggregated,2.000000,0.000000,3800,5000,5600,6100,7200,7500,7700,7700,7700,7700,7700,46,0,3800.0,3992.022552673901,699.858187000018,7695.433068999819,133.0
1669228269,24,,Aggregated,2.100000,0.000000,4200,5500,6100,7000,7600,7700,8000,8000,8000,8000,8000,49,0,4200.0,4229.3062735510075,699.858187000018,8022.0012989998395,133.0
