Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegrationservice/0/3.14159,221,0,52000.0,44741.550243538455,347.40826799998104,93707.00007999994,134.0,1.234286031183889,0.0,52000,62000,67000,68000,73000,77000,83000,84000,94000,94000,94000
,Aggregated,221,0,52000.0,44741.550243538455,347.40826799998104,93707.00007999994,134.0,1.234286031183889,0.0,52000,62000,67000,68000,73000,77000,83000,84000,94000,94000,94000
